Number of steps: 500
Update Matrix <4,4>: [
  10.400022,	  5.120253,	  10.000000,	  -0.202404,	
  10.450022,	  5.119241,	  10.000000,	  -0.251454,	
  10.500022,	  5.117983,	  10.000000,	  -0.300504,	
  10.550022,	  5.116481,	  10.000000,	  -0.349554,	
  10.600022,	  5.114733,	  10.000000,	  -0.398604,	
  10.650023,	  5.112740,	  10.000000,	  -0.447654,	
  10.700023,	  5.110502,	  10.000000,	  -0.496704,	
  10.750023,	  5.108018,	  10.000000,	  -0.545754,	
  10.800023,	  5.105289,	  10.000000,	  -0.594804,	
  10.850023,	  5.102315,	  10.000000,	  -0.643854,	
  10.900023,	  5.099096,	  10.000000,	  -0.692904,	
  10.950024,	  5.095632,	  10.000000,	  -0.741954,	
  11.000024,	  5.091922,	  10.000000,	  -0.791004,	
  11.050024,	  5.087967,	  10.000000,	  -0.840054,	
  11.100024,	  5.083766,	  10.000000,	  -0.889104,	
  11.150024,	  5.079321,	  10.000000,	  -0.938154,	
  11.200025,	  5.074630,	  10.000000,	  -0.987204,	
  11.250025,	  5.069694,	  10.000000,	  -1.036254,	
  11.300025,	  5.064513,	  10.000000,	  -1.085304,	
  11.350025,	  5.059086,	  10.000000,	  -1.134354,	
  11.400025,	  5.053414,	  10.000000,	  -1.183404,	
  11.450026,	  5.047497,	  10.000000,	  -1.232454,	
  11.500026,	  5.041335,	  10.000000,	  -1.281504,	
  11.550026,	  5.034927,	  10.000000,	  -1.330554,	
  11.600026,	  5.028275,	  10.000000,	  -1.379604,	
  11.650026,	  5.021377,	  10.000000,	  -1.428654,	
  11.700027,	  5.014233,	  10.000000,	  -1.477704,	
  11.750027,	  5.006845,	  10.000000,	  -1.526754,	
  11.800027,	  4.999211,	  10.000000,	  -1.575804,	
  11.850027,	  4.991332,	  10.000000,	  -1.624854,	
  11.900027,	  4.983208,	  10.000000,	  -1.673904,	
  11.950027,	  4.974838,	  10.000000,	  -1.722954,	
  12.000028,	  4.966224,	  10.000000,	  -1.772004,	
  12.050028,	  4.957364,	  10.000000,	  -1.821054,	
  12.100028,	  4.948258,	  10.000000,	  -1.870104,	
  12.150028,	  4.938908,	  10.000000,	  -1.919154,	
  12.200028,	  4.929312,	  10.000000,	  -1.968204,	
  12.250029,	  4.919471,	  10.000000,	  -2.017254,	
  12.300029,	  4.909385,	  10.000000,	  -2.066304,	
  12.350029,	  4.899054,	  10.000000,	  -2.115354,	
  12.400029,	  4.888477,	  10.000000,	  -2.164404,	
  12.450029,	  4.877655,	  10.000000,	  -2.213454,	
  12.500030,	  4.866588,	  10.000000,	  -2.262504,	
  12.550030,	  4.855275,	  10.000000,	  -2.311554,	
  12.600030,	  4.843718,	  10.000000,	  -2.360604,	
  12.650030,	  4.831914,	  10.000000,	  -2.409654,	
  12.700030,	  4.819866,	  10.000000,	  -2.458704,	
  12.750031,	  4.807573,	  10.000000,	  -2.507755,	
  12.800031,	  4.795034,	  10.000000,	  -2.556805,	
  12.850031,	  4.782250,	  10.000000,	  -2.605855,	
  12.900031,	  4.769221,	  10.000000,	  -2.654905,	
  12.950031,	  4.755946,	  10.000000,	  -2.703955,	
  13.000031,	  4.742426,	  10.000000,	  -2.753005,	
  13.050032,	  4.728662,	  10.000000,	  -2.802055,	
  13.100032,	  4.714651,	  10.000000,	  -2.851105,	
  13.150032,	  4.700396,	  10.000000,	  -2.900155,	
  13.200032,	  4.685895,	  10.000000,	  -2.949205,	
  13.250032,	  4.671149,	  10.000000,	  -2.998255,	
  13.300033,	  4.656157,	  10.000000,	  -3.047306,	
  13.350033,	  4.640921,	  10.000000,	  -3.096356,	
  13.400033,	  4.625439,	  10.000000,	  -3.145406,	
  13.450033,	  4.609712,	  10.000000,	  -3.194456,	
  13.500033,	  4.593740,	  10.000000,	  -3.243506,	
  13.550034,	  4.577522,	  10.000000,	  -3.292556,	
  13.600034,	  4.561059,	  10.000000,	  -3.341606,	
  13.650034,	  4.544352,	  10.000000,	  -3.390656,	
  13.700034,	  4.527398,	  10.000000,	  -3.439706,	
  13.750034,	  4.510200,	  10.000000,	  -3.488756,	
  13.800035,	  4.492756,	  10.000000,	  -3.537807,	
  13.850035,	  4.475067,	  10.000000,	  -3.586857,	
  13.900035,	  4.457132,	  10.000000,	  -3.635907,	
  13.950035,	  4.438953,	  10.000000,	  -3.684957,	
  14.000035,	  4.420528,	  10.000000,	  -3.734007,	
  14.050035,	  4.401858,	  10.000000,	  -3.783057,	
  14.100036,	  4.382943,	  10.000000,	  -3.832107,	
  14.150036,	  4.363782,	  10.000000,	  -3.881157,	
  14.200036,	  4.344376,	  10.000000,	  -3.930207,	
  14.250036,	  4.324725,	  10.000000,	  -3.979257,	
  14.300036,	  4.304829,	  10.000000,	  -4.028307,	
  14.350037,	  4.284687,	  10.000000,	  -4.077357,	
  14.400037,	  4.264300,	  10.000000,	  -4.126407,	
  14.450037,	  4.243668,	  10.000000,	  -4.175457,	
  14.500037,	  4.222791,	  10.000000,	  -4.224507,	
  14.550037,	  4.201668,	  10.000000,	  -4.273557,	
  14.600038,	  4.180301,	  10.000000,	  -4.322607,	
  14.650038,	  4.158688,	  10.000000,	  -4.371656,	
  14.700038,	  4.136829,	  10.000000,	  -4.420706,	
  14.750038,	  4.114726,	  10.000000,	  -4.469756,	
  14.800038,	  4.092377,	  10.000000,	  -4.518806,	
  14.850039,	  4.069783,	  10.000000,	  -4.567856,	
  14.900039,	  4.046944,	  10.000000,	  -4.616906,	
  14.950039,	  4.023860,	  10.000000,	  -4.665956,	
  15.000039,	  4.000530,	  10.000000,	  -4.715005,	
  15.050039,	  3.976955,	  10.000000,	  -4.764055,	
  15.100039,	  3.953135,	  10.000000,	  -4.813105,	
  15.150040,	  3.929069,	  10.000000,	  -4.862155,	
  15.200040,	  3.904758,	  10.000000,	  -4.911205,	
  15.250040,	  3.880202,	  10.000000,	  -4.960255,	
  15.300040,	  3.855401,	  10.000000,	  -5.009305,	
  15.350040,	  3.830354,	  10.000000,	  -5.058354,	
  15.400041,	  3.805063,	  10.000000,	  -5.107404,	
  15.450041,	  3.779526,	  10.000000,	  -5.156454,	
  15.500041,	  3.753743,	  10.000000,	  -5.205504,	
  15.550041,	  3.727716,	  10.000000,	  -5.254554,	
  15.600041,	  3.701443,	  10.000000,	  -5.303604,	
  15.650042,	  3.674925,	  10.000000,	  -5.352654,	
  15.700042,	  3.648162,	  10.000000,	  -5.401703,	
  15.750042,	  3.621153,	  10.000000,	  -5.450753,	
  15.800042,	  3.593899,	  10.000000,	  -5.499803,	
  15.850042,	  3.566401,	  10.000000,	  -5.548853,	
  15.900043,	  3.538656,	  10.000000,	  -5.597903,	
  15.950043,	  3.510667,	  10.000000,	  -5.646953,	
  16.000042,	  3.482432,	  10.000000,	  -5.696002,	
  16.050041,	  3.453952,	  10.000000,	  -5.745052,	
  16.100040,	  3.425227,	  10.000000,	  -5.794102,	
  16.150040,	  3.396256,	  10.000000,	  -5.843152,	
  16.200039,	  3.367040,	  10.000000,	  -5.892202,	
  16.250038,	  3.337579,	  10.000000,	  -5.941252,	
  16.300037,	  3.307873,	  10.000000,	  -5.990302,	
  16.350037,	  3.277922,	  10.000000,	  -6.039351,	
  16.400036,	  3.247725,	  10.000000,	  -6.088401,	
  16.450035,	  3.217283,	  10.000000,	  -6.137451,	
  16.500034,	  3.186596,	  10.000000,	  -6.186501,	
  16.550034,	  3.155663,	  10.000000,	  -6.235551,	
  16.600033,	  3.124485,	  10.000000,	  -6.284601,	
  16.650032,	  3.093062,	  10.000000,	  -6.333651,	
  16.700031,	  3.061394,	  10.000000,	  -6.382700,	
  16.750031,	  3.029481,	  10.000000,	  -6.431750,	
  16.800030,	  2.997322,	  10.000000,	  -6.480800,	
  16.850029,	  2.964918,	  10.000000,	  -6.529850,	
  16.900028,	  2.932269,	  10.000000,	  -6.578900,	
  16.950027,	  2.899374,	  10.000000,	  -6.627950,	
  17.000027,	  2.866234,	  10.000000,	  -6.677000,	
  17.050026,	  2.832849,	  10.000000,	  -6.726049,	
  17.100025,	  2.799219,	  10.000000,	  -6.775099,	
  17.150024,	  2.765344,	  10.000000,	  -6.824149,	
  17.200024,	  2.731223,	  10.000000,	  -6.873199,	
  17.250023,	  2.696857,	  10.000000,	  -6.922249,	
  17.300022,	  2.662246,	  10.000000,	  -6.971299,	
  17.350021,	  2.627389,	  10.000000,	  -7.020349,	
  17.400021,	  2.592288,	  10.000000,	  -7.069398,	
  17.450020,	  2.556941,	  10.000000,	  -7.118448,	
  17.500019,	  2.521348,	  10.000000,	  -7.167498,	
  17.550018,	  2.485511,	  10.000000,	  -7.216548,	
  17.600018,	  2.449428,	  10.000000,	  -7.265598,	
  17.650017,	  2.413100,	  10.000000,	  -7.314648,	
  17.700016,	  2.376527,	  10.000000,	  -7.363698,	
  17.750015,	  2.339708,	  10.000000,	  -7.412747,	
  17.800014,	  2.302644,	  10.000000,	  -7.461797,	
  17.850014,	  2.265336,	  10.000000,	  -7.510847,	
  17.900013,	  2.227781,	  10.000000,	  -7.559897,	
