Number of steps: 500
Force Vector <4> : [
  0.000000,
  0.000000,
  0.000000,
  -9.810000,
]
Initial State <4> : [
  0.000000,
  0.000000,
  10.000000,
  10.000000,
]
	x,	y,	vx,	vy,
Results <500,4>: [
  6.074588,	  -0.399353,	  1.910209,	  -5.532039,	
  6.084139,	  -0.427013,	  1.899029,	  -5.548712,	
  6.093635,	  -0.454757,	  1.887892,	  -5.565221,	
  6.103074,	  -0.482583,	  1.876797,	  -5.581565,	
  6.112458,	  -0.510491,	  1.865745,	  -5.597747,	
  6.121787,	  -0.538480,	  1.854737,	  -5.613768,	
  6.131061,	  -0.566548,	  1.843771,	  -5.629628,	
  6.140279,	  -0.594697,	  1.832849,	  -5.645329,	
  6.149444,	  -0.622923,	  1.821970,	  -5.660872,	
  6.158554,	  -0.651227,	  1.811135,	  -5.676257,	
  6.167609,	  -0.679609,	  1.800344,	  -5.691487,	
  6.176611,	  -0.708066,	  1.789597,	  -5.706562,	
  6.185559,	  -0.736599,	  1.778894,	  -5.721483,	
  6.194453,	  -0.765206,	  1.768236,	  -5.736252,	
  6.203294,	  -0.793888,	  1.757622,	  -5.750870,	
  6.212082,	  -0.822642,	  1.747052,	  -5.765337,	
  6.220818,	  -0.851469,	  1.736528,	  -5.779655,	
  6.229500,	  -0.880367,	  1.726048,	  -5.793826,	
  6.238131,	  -0.909336,	  1.715613,	  -5.807849,	
  6.246709,	  -0.938375,	  1.705223,	  -5.821727,	
  6.255235,	  -0.967484,	  1.694879,	  -5.835461,	
  6.263710,	  -0.996661,	  1.684580,	  -5.849051,	
  6.272132,	  -1.025907,	  1.674326,	  -5.862499,	
  6.280504,	  -1.055219,	  1.664118,	  -5.875806,	
  6.288825,	  -1.084598,	  1.653955,	  -5.888973,	
  6.297095,	  -1.114043,	  1.643838,	  -5.902001,	
  6.305314,	  -1.143553,	  1.633767,	  -5.914891,	
  6.313483,	  -1.173128,	  1.623742,	  -5.927645,	
  6.321601,	  -1.202766,	  1.613762,	  -5.940264,	
  6.329670,	  -1.232467,	  1.603829,	  -5.952748,	
  6.337689,	  -1.262231,	  1.593941,	  -5.965099,	
  6.345659,	  -1.292056,	  1.584099,	  -5.977318,	
  6.353580,	  -1.321943,	  1.574304,	  -5.989407,	
  6.361451,	  -1.351890,	  1.564554,	  -6.001365,	
  6.369274,	  -1.381897,	  1.554851,	  -6.013195,	
  6.377048,	  -1.411963,	  1.545194,	  -6.024897,	
  6.384775,	  -1.442087,	  1.535583,	  -6.036473,	
  6.392453,	  -1.472270,	  1.526018,	  -6.047923,	
  6.400083,	  -1.502509,	  1.516500,	  -6.059249,	
  6.407665,	  -1.532805,	  1.507028,	  -6.070453,	
  6.415200,	  -1.563158,	  1.497602,	  -6.081534,	
  6.422688,	  -1.593565,	  1.488222,	  -6.092494,	
  6.430129,	  -1.624028,	  1.478888,	  -6.103334,	
  6.437523,	  -1.654544,	  1.469601,	  -6.114055,	
  6.444871,	  -1.685115,	  1.460360,	  -6.124659,	
  6.452173,	  -1.715738,	  1.451165,	  -6.135146,	
  6.459429,	  -1.746414,	  1.442016,	  -6.145517,	
  6.466640,	  -1.777141,	  1.432914,	  -6.155774,	
  6.473804,	  -1.807920,	  1.423857,	  -6.165917,	
  6.480923,	  -1.838750,	  1.414847,	  -6.175948,	
  6.487998,	  -1.869630,	  1.405882,	  -6.185867,	
  6.495027,	  -1.900559,	  1.396964,	  -6.195676,	
  6.502012,	  -1.931537,	  1.388091,	  -6.205376,	
  6.508952,	  -1.962564,	  1.379265,	  -6.214968,	
  6.515849,	  -1.993639,	  1.370484,	  -6.224452,	
  6.522701,	  -2.024761,	  1.361749,	  -6.233830,	
  6.529510,	  -2.055930,	  1.353060,	  -6.243104,	
  6.536275,	  -2.087146,	  1.344417,	  -6.252272,	
  6.542997,	  -2.118407,	  1.335819,	  -6.261338,	
  6.549676,	  -2.149714,	  1.327267,	  -6.270301,	
  6.556313,	  -2.181066,	  1.318760,	  -6.279163,	
  6.562906,	  -2.212461,	  1.310299,	  -6.287925,	
  6.569458,	  -2.243901,	  1.301883,	  -6.296588,	
  6.575967,	  -2.275384,	  1.293512,	  -6.305152,	
  6.582434,	  -2.306910,	  1.285186,	  -6.313620,	
  6.588860,	  -2.338478,	  1.276906,	  -6.321990,	
  6.595244,	  -2.370088,	  1.268670,	  -6.330266,	
  6.601588,	  -2.401739,	  1.260479,	  -6.338447,	
  6.607890,	  -2.433431,	  1.252333,	  -6.346534,	
  6.614152,	  -2.465164,	  1.244232,	  -6.354529,	
  6.620373,	  -2.496937,	  1.236176,	  -6.362432,	
  6.626554,	  -2.528749,	  1.228163,	  -6.370245,	
  6.632695,	  -2.560600,	  1.220196,	  -6.377967,	
  6.638796,	  -2.592490,	  1.212272,	  -6.385601,	
  6.644857,	  -2.624418,	  1.204393,	  -6.393147,	
  6.650879,	  -2.656384,	  1.196557,	  -6.400606,	
  6.656862,	  -2.688387,	  1.188766,	  -6.407978,	
  6.662806,	  -2.720427,	  1.181018,	  -6.415265,	
  6.668711,	  -2.752503,	  1.173315,	  -6.422468,	
  6.674578,	  -2.784615,	  1.165654,	  -6.429587,	
  6.680406,	  -2.816763,	  1.158037,	  -6.436624,	
  6.686196,	  -2.848946,	  1.150464,	  -6.443578,	
  6.691948,	  -2.881164,	  1.142934,	  -6.450452,	
  6.697663,	  -2.913417,	  1.135446,	  -6.457245,	
  6.703341,	  -2.945703,	  1.128002,	  -6.463960,	
  6.708981,	  -2.978023,	  1.120600,	  -6.470595,	
  6.714583,	  -3.010375,	  1.113241,	  -6.477153,	
  6.720150,	  -3.042761,	  1.105925,	  -6.483634,	
  6.725679,	  -3.075180,	  1.098651,	  -6.490040,	
  6.731172,	  -3.107630,	  1.091419,	  -6.496370,	
  6.736629,	  -3.140112,	  1.084230,	  -6.502625,	
  6.742050,	  -3.172625,	  1.077082,	  -6.508808,	
  6.747436,	  -3.205169,	  1.069976,	  -6.514917,	
  6.752786,	  -3.237744,	  1.062912,	  -6.520954,	
  6.758100,	  -3.270348,	  1.055889,	  -6.526920,	
  6.763380,	  -3.302983,	  1.048908,	  -6.532816,	
  6.768624,	  -3.335647,	  1.041968,	  -6.538641,	
  6.773834,	  -3.368340,	  1.035069,	  -6.544398,	
  6.779009,	  -3.401062,	  1.028211,	  -6.550087,	
  6.784151,	  -3.433812,	  1.021394,	  -6.555708,	
  6.789258,	  -3.466591,	  1.014617,	  -6.561262,	
  6.794331,	  -3.499397,	  1.007881,	  -6.566751,	
  6.799370,	  -3.532231,	  1.001185,	  -6.572174,	
  6.804376,	  -3.565092,	  0.994529,	  -6.577532,	
  6.809348,	  -3.597980,	  0.987913,	  -6.582826,	
  6.814288,	  -3.630894,	  0.981337,	  -6.588057,	
  6.819194,	  -3.663834,	  0.974800,	  -6.593225,	
  6.824069,	  -3.696800,	  0.968303,	  -6.598332,	
  6.828910,	  -3.729792,	  0.961846,	  -6.603378,	
  6.833719,	  -3.762809,	  0.955427,	  -6.608364,	
  6.838496,	  -3.795851,	  0.949048,	  -6.613289,	
  6.843241,	  -3.828917,	  0.942707,	  -6.618155,	
  6.847955,	  -3.862008,	  0.936405,	  -6.622963,	
  6.852637,	  -3.895123,	  0.930142,	  -6.627714,	
  6.857287,	  -3.928261,	  0.923917,	  -6.632407,	
  6.861907,	  -3.961423,	  0.917730,	  -6.637043,	
  6.866496,	  -3.994609,	  0.911581,	  -6.641623,	
  6.871054,	  -4.027817,	  0.905470,	  -6.646149,	
